Coorte,Anno,Regione,Poliomielite,Difterite,Tetano,Pertosse,Epatite B,HIB,Morbillo,Parotite,Rosolia,Varicella,Meningococco C coniugato,Pneumococco Coniugato
2013,2015,Toscana,"94,98","94,95","95,23","94,96","94,81","94,57","88,72","88,67","88,69","78,21","90,85","92,94"
2013,2015,Umbria,"93,9","93,78","93,96","93,71","93,43","93,65","87,51","87,46","87,46","0,52","85,72","90,32"
2013,2015,Marche,"92,02","91,75","92,13","91,74","91,65","91,52","79,9","79,87","79,87","2,75","76,86","88,04"
2013,2015,Lazio,"95,26","95,24","95,25","95,21","95,2","95,2","84,47","84,46","84,46","6,51","68,16","91,85"
2013,2015,Abruzzo,"95,72","95,71","95,72","95,71","95,71","95,71","84,23","84,23","84,23","4,91","65,43","86,34"
2013,2015,Molise,"94,32","94,32","94,32","94,32","94,32","94,32","77,38","77,38","77,38","47,68","68,09","92,63"
2013,2015,Campania,"91,34","91,34","91,34","91,34","91,36","91,49","80,76","80,76","80,76","9,15","50,04","82,96"
2013,2015,Puglia,"93,8","93,81","93,81","93,81","93,8","93,73","84,15","84,15","84,15","81,82","77,32","92,54"
2013,2015,Basilicata,"97,83","97,83","97,83","97,83","97,83","97,83","90,25","90,25","90,25","76,95","85,83","97,08"
2013,2015,Calabria,"95,32","95,32","95,32","95,32","95,32","95,24","84,38","84,38","83,71","53,02","67,9","88,65"
2013,2015,Sicilia,"91,94","91,92","91,92","91,92","91,92","91,91","79,2","79,18","79,18","75,36","60,48","89,37"
2013,2015,Sardegna,"95,05","95,05","95,07","95,05","95,06","95,05","87,67","87,67","87,67","67,15","83,59","94,14"
2013,2015,Italia,"93,43","93,35","93,56","93,33","93,2","93,03","85,29","85,23","85,22","30,73","76,62","88,73"
2012,2014,Piemonte,"96,21","96,22","96,42","96,15","95,85","95,65","90,55","90,55","90,55","1,1","87,06","92,54"
2012,2014,Valle D'Aosta,"90,61","90,78","91,3","90,09","90,18","89,66","77,61","77,17","77,09","0,43","77,78","84,41"
2012,2014,Lombardia,"95,02","94,96","95,14","94,83","94,87","94,33","89,49","89,36","89,4","n,i,","79,43","79,42"
2012,2014,Alto Adige,"88,46","88,44","88,52","88,43","87,99","87,68","68,77","68,68","68,75","2,95","61,31","80,69"
2012,2014,Trentino,"92,74","92,7","93,09","92,57","92,43","92,14","84,21","84,17","84,21","1,21","81,73","87,1"
2012,2014,Veneto,"91,71","91,76","92,09","91,7","91,43","91,04","87,1","86,98","87,03","84,16","88,1","85,59"
2012,2014,Friuli Venezia Giulia,"92,2","92,57","92,57","92,08","91,7","91,67","83,51","83,38","83,39","60,28","82,62","82,37"
2012,2014,Liguria,"95,74","95,74","95,8","95,69","95,61","95,22","82,82","82,76","82,82","11,6","83,12","92,18"
2012,2014,Emilia Romagna,"94,8","94,72","95,07","94,44","94,49",94,"88,26","88,06","88,06","0,55","88,28","92,54"
2012,2014,Toscana,"95,43","95,56","95,71","95,56","95,37","95,12","89,31","89,15","89,23","77,12","87,82","93,8"
2012,2014,Umbria,"95,9","95,63","95,64","95,54","95,25","95,52","88,97","88,81","88,79","0,59","86,5","94,16"
2012,2014,Marche,"93,66","93,63","93,7","93,63","93,5","93,45","81,39","81,39","81,39","1,49","76,64","89,65"
2012,2014,Lazio,"97,55","97,54","97,54","97,53","97,95","97,06","88,54","88,54","88,54","6,15","62,64","91,25"
2012,2014,Abruzzo,"96,58","96,57","96,57","96,57","96,57","96,55","85,68","85,68","85,68","4,7","62,2","83,6"
2012,2014,Molise,"96,65","96,65","96,65","96,65","96,65","96,65","86,27","86,27","86,27","37,3","74,15","94,63"
2012,2014,Campania,"93,19","93,19","93,19","93,19","93,19","93,09","83,66","83,66","83,66","7,88","42,72","76,63"
2012,2014,Puglia,"94,64","94,64","94,64","94,64","94,64","94,63","85,07","85,07","85,07","81,65","77,75","93,48"
2012,2014,Basilicata,"98,84","98,84","98,84","98,84","98,84","98,84",90,90,90,"72,47","86,33","98,47"
2012,2014,Calabria,"96,07","96,07","96,07","96,07","96,07","96,04","83,2","83,2","83,2","51,07","66,21","92,02"
2012,2014,Sicilia,"93,48","93,48","93,48","93,48","93,48","93,47","83,95","83,95","83,95","79,02","60,17","91,74"
2012,2014,Sardegna,"96,12","96,12","96,12","96,11","96,12","96,07","88,6","88,6","88,6","58,97","84,28","95,04"
2012,2014,Italia,"94,71","94,71","94,82","94,64","94,61","94,31","86,74","86,67","86,69","36,64","73,94","87,46"
